OBJECTID,OFC_SBRB_NAME,ShapeSTArea,ShapeSTLength
553,WYNBERG NU,8925005.05114746,15606.8204408304
554,BISHOPSCOURT,2357302.02854919,7629.55579816134
555,MOUNTAINSIDE ESTATE,387704.986114502,3154.83632781695
556,WINSLOW,232365.234786987,1923.99210395752
557,TEMPERANCE TOWN,123527.16973877,1423.86529277733
558,GORDONS BAY EXT 12,312957.90448761,2793.56072086943
559,ONVERWACHT - GORDON'S BAY,108452.653335571,1377.46368222411
560,DOBSON,266076.709472656,2090.03212072894
561,MOUNTAINSIDE,239548.383792877,2162.15614011397
562,GORDONS STRAND ESTATE,286212.593845367,4371.22443263902
563,ANTILLES/CAYMAN BEACH,59722.0631866455,1139.29829587812
564,ANCHORAGE PARK,337663.174087524,3261.85365055932
565,ADMIRALS PARK,214056.56539917,2208.16736885623
566,HARBOUR ISLAND,226314.772075653,2355.06572227958
567,TIJGERHOF,1092278.48556519,5546.35341693096
568,CENTURY CITY,2656387.99479675,7847.94786293437
569,ACACIA PARK,2834563.17677307,8813.43403872456
570,YSTERPLAAT,2412735.25927734,7141.19987704904
571,ST DUMAS,516437.775993347,3782.59770398687
